Title,Category,Published,Link
'Hostile act': Trump threatens EU with tariffs over Canada associate-membership proposal,Global Economy,"Thu, 17 Sep 2026 00:55:35 GMT",https://www.cnbc.com/2026/09/17/trump-canada-european-union-tariffs-associate-member-ukraine-.html
Trump plans to meet Gulf leaders at UN next week on Iran war's endgame: report,Global Economy,"Thu, 17 Sep 2026 03:21:50 GMT",https://www.cnbc.com/2026/09/17/us-iran-war-trump-hormuz.html
"Bank of England set to defy Fed’s rate-hike lead, despite rising inflation",Interest Rates & Economy,"Thu, 17 Sep 2026 05:20:23 GMT",https://www.cnbc.com/2026/09/17/bank-of-england-interest-rate-decision-fed-rate-hike-uk-inflation.html
A stronger dollar and rising yields: How the Fed’s rate hike could hit global markets,Interest Rates & Economy,"Thu, 17 Sep 2026 05:03:07 GMT",https://www.cnbc.com/2026/09/17/fed-rate-hike-impact-globally-currency-yields.html
Putin braces for election stress test as Russians ‘feel the pain’ of struggling economy,Technology,"Thu, 17 Sep 2026 05:00:01 GMT",https://www.cnbc.com/2026/09/17/russia-putin-state-duma-election-ukraine-war.html
"House passes sweeping Russia sanctions bill honoring Lindsey Graham, sends to Trump",Global Economy,"Wed, 16 Sep 2026 22:32:18 GMT",https://www.cnbc.com/2026/09/16/russia-sanctions-bill-lindsey-graham-congress.html
Oil extends losses as Saudi Arabia reportedly offers ship-to-ship crude transfers after pipeline hit,Commodities,"Thu, 17 Sep 2026 02:08:02 GMT",https://www.cnbc.com/2026/09/17/oil-prices-today-wti-brent-hormuz-iran-war.html
Japan’s corporate leaders sound alarm over weak yen — even dollar-earners are voicing concerns,Asia & Australia,"Thu, 17 Sep 2026 03:19:34 GMT",https://www.cnbc.com/2026/09/17/japan-yen-weakness-corporate-concerns.html
"Hyperscaler debt signals warning sign, Apollo cautions",Technology,"Wed, 16 Sep 2026 19:29:18 GMT",https://www.cnbc.com/2026/09/16/hyperscaler-debt-signals-warning-sign-apollo-cautions.html
'Science fiction': Transport companies — the backbone of economy — are sounding alarm on fuel prices,Commodities,"Wed, 16 Sep 2026 20:22:24 GMT",https://www.cnbc.com/2026/09/16/transport-economy-diesel-prices-iran.html
Inside India newsletter: The world’s largest real-time payments system will no longer be free for all,Asia & Australia,"Thu, 17 Sep 2026 05:10:05 GMT",https://www.cnbc.com/2026/09/17/upi-payments-visa-amazon-phonepe.html
Mark Walter and Todd Boehly selling stakes in Chelsea Football Club to Clearlake Capital,Global Economy,"Thu, 17 Sep 2026 03:35:26 GMT",https://www.cnbc.com/2026/09/17/chelsea-mark-walter-bohely-clearlake-capital.html
"Trump says he still has confidence in Fed Chair Warsh, demands 1% or lower interest rates",Interest Rates & Economy,"Wed, 16 Sep 2026 23:45:02 GMT",https://www.cnbc.com/2026/09/16/trump-fed-interest-rate-warsh.html
House advances bill to rein in AI data center utility costs,Technology,"Thu, 17 Sep 2026 00:08:01 GMT",https://www.cnbc.com/2026/09/15/congress-ai-data-center-utility-costs.html
House votes to hold Leon Black in contempt of Congress over Epstein subpoenas defiance,Global Economy,"Wed, 16 Sep 2026 20:54:15 GMT",https://www.cnbc.com/2026/09/16/leon-black-contempt-house-epstein-subpoenas-refusal.html
OpenAI reports 6 new instances of 'concerning model behavior' since March,Technology,"Wed, 16 Sep 2026 23:05:48 GMT",https://www.cnbc.com/2026/09/16/openai-6-new-instances-of-concerning-model-behavior-since-march.html
"Fed delivers its first hike in 3 years. Plus, what's moving Starbucks and GE Vernova",Interest Rates & Economy,"Wed, 16 Sep 2026 19:00:14 GMT",https://www.cnbc.com/2026/09/16/fed-delivers-its-first-hike-in-3-years-plus-whats-moving-starbucks-and-ge-vernova.html
"Amazon obtains right to buy stock in Generac, boosting power company's share price by over 40%",Technology,"Wed, 16 Sep 2026 21:40:18 GMT",https://www.cnbc.com/2026/09/16/amazon-obtains-right-to-buy-up-to-340m-of-generac-boosting-stock-.html
"Trump's Kennedy Center closure is 'unlawful,' Rep. Beatty tells judge in emergency hearing request",Global Economy,"Wed, 16 Sep 2026 20:32:54 GMT",https://www.cnbc.com/2026/09/16/trump-kennedy-center-beatty.html
Boeing CEO: 737 Max production taking 'a little bit longer' to stabilize than expected,Global Economy,"Wed, 16 Sep 2026 19:36:24 GMT",https://www.cnbc.com/2026/09/16/boeing-ceo-737-max-production.html
